,Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
2635,133.98,-0.3,15,15,16,16,40.39728887742033,1796.68400340847,AAPL_130-220
2636,133.98,-5.31,16,16,17,17,120.6569383323272,1796.68400340847,AAPL_180-245
2637,133.98,-8.84,21,21,19,19,158.77297229690782,1796.68400340847,AAPL_205-170
2638,133.98,-11.38,15,15,14,14,161.79523529392057,1796.68400340847,AAPL_240-95
2639,133.98,-8.91,16,16,15,15,136.0046000150533,1796.68400340847,AAPL_215-80
2640,133.98,-3.59,16,16,17,17,86.43225199629414,1796.68400340847,AAPL_155-225
2641,133.98,-5.87,12,12,13,13,100.4239155054378,1796.68400340847,AAPL_195-265
2642,133.98,-11.64,28,28,27,27,183.19846073966843,1796.68400340847,AAPL_150-30
2643,133.98,-2.41,11,11,12,12,56.59231954300141,1796.68400340847,AAPL_220-285
2644,133.98,-9.11,17,17,16,16,131.16236632832508,1796.68400340847,AAPL_190-60
2645,133.98,-7.59,40,40,38,38,116.60160314608078,1796.68400340847,AAPL_250-5
2646,133.98,-7.13,22,22,21,21,133.44098826057137,1796.68400340847,AAPL_175-35
2647,133.98,-16.36,42,42,41,41,236.41606978492945,1796.68400340847,AAPL_140-130
2648,133.98,-3.03,22,22,20,20,58.10011880577015,1796.68400340847,AAPL_165-130
2649,133.98,-7.42,16,16,15,15,114.93911242104218,1796.68400340847,AAPL_215-85
2650,133.98,-2.38,18,18,17,17,53.85264165150264,1796.68400340847,AAPL_230-185
2651,133.98,-9.15,15,15,16,16,113.22237908652504,1796.68400340847,AAPL_130-225
2652,133.98,-4.31,15,15,14,14,69.20038550548045,1796.68400340847,AAPL_240-100
2653,133.98,-8.42,12,12,13,13,127.70217480927606,1796.68400340847,AAPL_195-270
2654,133.98,-7.81,15,15,16,16,125.80753904987994,1796.68400340847,AAPL_155-230
2655,133.98,-6.52,16,16,17,17,126.44753258544426,1796.68400340847,AAPL_180-250
2656,133.98,-7.58,28,28,25,25,147.06981903151802,1796.68400340847,AAPL_250-10
2657,133.98,-2.71,11,11,12,12,51.92184784089031,1796.68400340847,AAPL_220-290
2658,133.98,-12.9,21,21,20,20,206.89689009456723,1796.68400340847,AAPL_205-175
2659,133.98,-11.67,28,28,27,27,155.624701492946,1796.68400340847,AAPL_150-35
2660,133.98,-6.35,17,17,16,16,82.07116966073059,1796.68400340847,AAPL_190-65
2661,133.98,-8.89,21,21,20,20,167.16275969002578,1796.68400340847,AAPL_175-40
2662,133.98,-22.31,59,59,53,53,380.382662990108,1796.68400340847,AAPL_140-135
2663,133.98,-4.71,25,25,24,24,119.4917768634244,1796.68400340847,AAPL_165-135
2664,133.98,-4.03,15,15,16,16,90.42720098413952,1796.68400340847,AAPL_130-230
2665,133.98,-6.46,15,15,14,14,98.49443333746432,1796.68400340847,AAPL_215-90
