,SLOWFAST,Buy and Hold,Strategy,SLOW,FAST
257,53-41,73.175,76.465,53,41
258,53-42,73.175,76.6,53,42
259,53-43,73.175,76.875,53,43
260,53-44,73.175,74.59625,53,44
261,53-45,73.175,74.17625,53,45
262,53-46,73.175,73.795,53,46
263,53-47,73.175,72.70875,53,47
264,53-48,73.175,72.14375,53,48
265,53-49,73.175,71.67999999999999,53,49
266,53-5,73.175,65.14125,53,5
267,53-50,73.175,71.47375,53,50
268,53-51,73.175,73.25874999999999,53,51
269,53-52,73.175,73.1375,53,52
270,53-53,73.175,0.0,53,53
271,53-54,73.175,-1.0987500000000003,53,54
272,53-55,73.175,-0.6774999999999999,53,55
273,53-56,73.175,-0.6937499999999998,53,56
274,53-57,73.175,-0.6262500000000003,53,57
275,53-58,73.175,-0.5012499999999999,53,58
276,53-59,73.175,-0.008749999999999702,53,59
277,53-6,73.175,61.89125,53,6
278,53-60,73.175,0.07875000000000021,53,60
279,53-61,73.175,0.4325,53,61
280,53-62,73.175,0.5474999999999998,53,62
281,53-63,73.175,0.79875,53,63
282,53-64,73.175,1.3625000000000003,53,64
283,53-65,73.175,0.52375,53,65
284,53-66,73.175,0.2074999999999999,53,66
285,53-67,73.175,0.3687499999999998,53,67
286,53-68,73.175,0.10750000000000026,53,68
287,53-69,73.175,0.04125000000000012,53,69
288,53-7,73.175,60.7875,53,7
289,53-70,73.175,0.0024999999999998357,53,70
290,53-71,73.175,0.11750000000000005,53,71
291,53-72,73.175,0.0012500000000000844,53,72
292,53-73,73.175,-0.16625000000000034,53,73
293,53-74,73.175,0.2825000000000001,53,74
294,53-8,73.175,64.89874999999999,53,8
295,53-9,73.175,64.335,53,9
296,54-1,73.175,53.365,54,1
297,54-10,73.175,66.74875,54,10
298,54-11,73.175,68.2725,54,11
299,54-12,73.175,67.04,54,12
300,54-13,73.175,66.96375,54,13
301,54-14,73.175,69.04875,54,14
302,54-15,73.175,70.47,54,15
303,54-16,73.175,69.67375,54,16
304,54-17,73.175,69.59125,54,17
305,54-18,73.175,72.98125,54,18
306,54-19,73.175,72.905,54,19
307,54-2,73.175,53.725,54,2
308,54-20,73.175,75.3025,54,20
309,54-21,73.175,73.31125,54,21
310,54-22,73.175,72.60875,54,22
311,54-23,73.175,74.3875,54,23
312,54-24,73.175,75.055,54,24
313,54-25,73.175,73.56625,54,25
314,54-26,73.175,72.76125,54,26
315,54-27,73.175,70.00875,54,27
316,54-28,73.175,69.98375,54,28
317,54-29,73.175,69.87875,54,29
318,54-3,73.175,55.73125,54,3
319,54-30,73.175,69.96000000000001,54,30
320,54-31,73.175,72.7375,54,31
321,54-32,73.175,71.99625,54,32
322,54-33,73.175,71.92375,54,33
323,54-34,73.175,72.71125,54,34
324,54-35,73.175,71.11125,54,35
325,54-36,73.175,74.7725,54,36
326,54-37,73.175,81.15125,54,37
327,54-38,73.175,81.6775,54,38
328,54-39,73.175,81.22,54,39
329,54-4,73.175,62.655,54,4
330,54-40,73.175,76.50375,54,40
331,54-41,73.175,76.36625000000001,54,41
332,54-42,73.175,77.58375,54,42
333,54-43,73.175,74.49375,54,43
334,54-44,73.175,74.15875,54,44
335,54-45,73.175,73.52375,54,45
336,54-46,73.175,72.6375,54,46
337,54-47,73.175,72.0975,54,47
338,54-48,73.175,71.69,54,48
339,54-49,73.175,71.47375,54,49
340,54-5,73.175,64.415,54,5
341,54-50,73.175,73.46875,54,50
342,54-51,73.175,73.1375,54,51
343,54-52,73.175,73.55375,54,52
344,54-53,73.175,74.0275,54,53
345,54-54,73.175,0.0,54,54
346,54-55,73.175,-0.6937499999999998,54,55
347,54-56,73.175,-0.6262500000000003,54,56
348,54-57,73.175,-0.5012499999999999,54,57
349,54-58,73.175,0.09125000000000039,54,58
350,54-59,73.175,0.09625000000000028,54,59
351,54-6,73.175,62.16375,54,6
352,54-60,73.175,0.4525,54,60
353,54-61,73.175,0.6125000000000002,54,61
354,54-62,73.175,0.8087499999999997,54,62
355,54-63,73.175,1.0925000000000002,54,63
356,54-64,73.175,0.2749999999999998,54,64
357,54-65,73.175,0.17374999999999996,54,65
358,54-66,73.175,0.4162500000000001,54,66
